name,acres,lon,lat,reporter,cause
OKS - STARBUCK,662700.0,-100.1752,36.77447,Oklahoma Division of Forestry,Missing data/not specified/undetermined
PERRYTON,318156.0,-100.531,36.0865,Texas A & M Forest Service,Missing data/not specified/undetermined
THOMAS,281893.0,-119.06027778,34.42527778,Los Padres National Forest,Missing data/not specified/undetermined
BRIDGE COULEE,270723.3,-107.8994,47.2167,Miles City Field Office,Natural
ROOSTERS COMB,204947.6,-116.7867,40.9411,Elko District Office,Natural
CHETCO BAR,191125.0,-123.95361111,42.29666667,Rogue River-Siskiyou National Forest,Natural
SNOWSTORM,154456.1,-116.8705,41.3719,Elko District Office,Natural
WEST MIMS,152515.0,-82.323333,30.574667,Okefenokee National Wildlife Refuge,Natural
RICE RIDGE,147529.0,-113.48527778,47.26805556,Lolo National Forest,Natural
LEFORS EAST,135000.0,-100.5388333,35.31808333,Texas A & M Forest Service,Missing data/not specified/undetermined
DIAMOND CREEK,127498.0,-120.41361111,48.85527778,Okanogan-Wenatchee National Forest,Missing data/not specified/undetermined
SARTIN DRAW,99714.0,-106.0089,45.7386,Miles City Field Office,Natural
TRUCKEE,98960.1,-119.252656,39.762111,Winnemucca District Office,Missing data/not specified/undetermined
TOHAKUM 2,94220.9,-119.42279,40.26794,Western Nevada Agency,Natural
17268 CAMPBELL RIVER,94178.4,-142.12211915,67.50599552,Arctic National Wildlife Refuge,Natural
HIGHLINE,89366.0,-115.22666667,45.49,Payette National Forest,Natural
LONG VALLEY,83599.0,-120.14819,40.07486,Northern California District,Equipment and vehicle use
DETWILER,81826.0,-120.2158,37.61965,Central California District,Firearms and explosives use
17297 WHITE MOUNTAIN CREEK,79410.2,-141.26337601,67.45177516,Arctic National Wildlife Refuge,Natural
BRIANHEAD,71675.0,-112.8367,37.7178,Cedar City Field Office,Debris and open burning
OKS - 283,69396.0,-99.83715,36.70994,Oklahoma Division of Forestry,Missing data/not specified/undetermined
NENA SPRINGS,68135.0,-121.24639,45.09278,Oregon Department of Forestry Salem Headquarters,Equipment and vehicle use
MEYERS,62034.0,-113.5796,45.99527,Beaverhead-Deerlodge National Forest,Natural
WALLOW,60910.0,-123.08972222,41.45555556,Klamath National Forest,Natural
NUNS,56556.0,-122.47,38.4089,Central California District,Missing data/not specified/undetermined
POWERLINE,55529.0,-112.7247,42.7061,Fort Hall Agency,Missing data/not specified/undetermined
DRY GULCH,55328.6,-114.1972,41.7155,Elko District Office,Natural
17336 NOWITNA,55273.0,-154.1181,64.3747,Nowitna National Wildlife Refuge,Natural
LEGION LAKE,54023.0,-103.4578,43.76753,Wind Cave National Park,Power generation/transmission/distribution
LOLO PEAK,53902.0,-114.26805556,46.67388889,Lolo National Forest,Natural
CINDER BUTTE,52531.0,-119.9367,43.568,Burns District,Missing data/not specified/undetermined
NORSE PEAK,52056.0,-121.3736,46.95061,Okanogan-Wenatchee National Forest,Missing data/not specified/undetermined
ATLAS,51624.0,-122.24367,38.39206,Central California District,Missing data/not specified/undetermined
MAMMOTH CAVE,49912.0,-114.3867,43.0653,Twin  Falls District,Missing data/not specified/undetermined
POWERLINE,48567.0,-116.7175,46.0356,Cottonwood Field Office,Natural
EAGLE CREEK,48488.0,-121.90416667,45.63027778,Columbia River Gorge National Scenic Area,Fireworks
FRYE,48443.0,-109.87166667,34.73527778,Coronado National Forest,Natural
GARZA,48000.0,-120.157158,35.821336,Central California District,Equipment and vehicle use
SAWMILL,46991.0,-110.8586,31.7989,Gila District Office,Fireworks
17325 BEAR MOUNTAIN,46714.6,-142.85,65.9667,Yukon Flats National Wildlife Refuge,Natural
STEELE,45690.4,-120.99083333,41.8525,Modoc National Forest,Natural
OAK,45403.0,-123.475,41.78638889,Klamath National Forest,Natural
OKS - SELMAN,44234.0,-99.46937,36.64078,Oklahoma Division of Forestry,Missing data/not specified/undetermined
EARTHSTONE,41545.0,-119.68269,39.58713,Carson City District Office,Arson/incendiarism
17292 BOULDER CREEK,41090.0,-143.73624933,67.47005047,Yukon Flats National Wildlife Refuge,Natural
DEER CREEK,40266.3,-106.471514,44.95565,Buffalo Field Office,Natural
17312 HELMET,40201.5,-144.08498689,67.59874758,Arctic National Wildlife Refuge,Natural
BRUSH FLAT,39386.9,-106.5858,45.1228,Miles City Field Office,Natural
LOVERIDGE,38651.0,-115.6669,42.8,Twin  Falls District,Natural
DAVIS,38190.0,-112.7086,40.1767,Salt Lake Field Office,Natural
RANKIN RANCH ROAD,38104.0,-100.7818333,35.82253333,Texas A & M Forest Service,Power generation/transmission/distribution
SUTHERLAND CANYON,37266.8,-119.98789,47.35989,Spokane District,Natural
2017016,37000.0,-99.491933,37.36700451,Comanche County,Debris and open burning
JOLLY MOUNTAIN,36817.0,-121.01861111,47.37666667,Okanogan-Wenatchee National Forest,Natural
TUBBS,36807.0,-122.62879,38.60895,Central California District,Missing data/not specified/undetermined
PIER,36556.0,-118.71388889,36.15194444,Sequoia National Forest,Arson/incendiarism
REDWOOD,36523.0,-123.16639,39.24873,Central California District,Missing data/not specified/undetermined
SHOESTRING,35704.0,-114.7122,42.8644,Twin  Falls District,Missing data/not specified/undetermined
LITTLE HOGBACK,34552.0,-113.68861111,46.44666667,Lolo National Forest,Natural
HILLTOP,33826.0,-110.3753,33.6344,San Carlos Agency,Natural
BROOKLYN,33550.0,-112.01444444,34.14111111,Tonto National Forest,Natural
BLANKET CREEK,33344.0,-122.31833333,42.79805556,Rogue River-Siskiyou National Forest,Natural
ABNEY,32846.0,-123.15138889,41.96805556,Rogue River-Siskiyou National Forest,Natural
17294 LOIS CREEK,32174.6,-142.09627741,68.29510606,Arctic National Wildlife Refuge,Natural
HAPPY DOG,31449.0,-122.62222222,43.30583333,Umpqua National Forest,Natural
COVE,30886.5,-121.05611111,41.30666667,Modoc National Forest,Natural
SILVER DOLLAR,30648.0,-119.8849,46.54123,Hanford Reach National Monument,Missing data/not specified/undetermined
LIBERTY,30580.0,-113.7797,47.1386,Flathead Agency,Natural
BEARSKIN,30251.0,-115.51305556,44.39166667,Boise National Forest,Natural
LOGAN FIRE,30000.0,-102.9536,40.8054,Crook Volunteer Fire Department,Equipment and vehicle use
DRAGONFLY    (6),29937.0,-80.7188,26.2133,Florida Forest Service,Natural
ANTELOPE,29493.0,-114.4956,42.9158,Twin  Falls District,Natural
SEATTLE,29454.0,-123.16,42.01333,Oregon Department of Forestry Salem Headquarters,Natural
ALICE CREEK,29253.0,-112.51111111,47.1525,Helena - Lewis and Clark National Forest,Natural
FY2017-CHARLTON-055,28985.55,-82.30577778,30.57999722,Georgia Forestry Commission,Natural
DUMAS COMPLEX ,28800.0,-101.8311833,35.31945,Texas A & M Forest Service,Equipment and vehicle use
ALAMO,28687.0,-120.299455,35.019827,California Department of Forestry & Fire Protection,Missing data/not specified/undetermined
WITTEN,28684.0,-106.6575,45.3639,Northern Cheyenne Agency,Natural
GOODWIN,28516.0,-112.37305556,34.3575,Prescott National Forest,Missing data/not specified/undetermined
17010,28000.0,-98.6136705,38.900988,Russell County,Missing data/not specified/undetermined
DRAW,27506.0,-117.872925,39.383294,Carson City District Office,Natural
BURRO,27259.0,-110.6325,32.37416667,Coronado National Forest,Natural
WILDHORSE,27181.0,-112.1664,43.4756,Idaho Falls District,Natural
HANOVER,26857.0,-115.94972222,45.54833333,Nez Perce - Clearwater National Forests,Natural
PARLIAMENT WF,26371.0,-81.22,25.9514,Big Cypress National Preserve,Smoking
SUNRISE,26310.0,-114.87833333,47.03666667,Lolo National Forest,Natural
TABOR FLATS,25379.5,-115.2789,41.1008,Elko District Office,Natural
SHEEP GAP,24816.0,-115.06027778,47.495,Lolo National Forest,Natural
CARIBOU,24752.0,-115.44111111,48.97305556,Kootenai National Forest,Natural
400,24650.0,-119.9904,46.71502,Southeast Region-Department of Natural Resources,Missing data/not specified/undetermined
17260 AMMERMAN CREEK,24117.2,-141.31183195,68.40936339,Arctic National Wildlife Refuge,Natural
0843 CS MILLI,24025.0,-121.74305556,44.25666667,Deschutes National Forest,Natural
17360 FORTY AND ONE HALF,23859.3,-147.72180199,66.74464596,Yukon Flats National Wildlife Refuge,Natural
CAMP FIRE ( 6 ),23500.0,-80.6355,26.3193,Florida Forest Service,Equipment and vehicle use
BRAVO17,23387.0,-118.13989,39.17546,Carson City District Office,Firearms and explosives use
LAVA FLOW,22636.0,-112.8656,43.3528,Idaho Falls District,Natural
MM 155,22360.6,-118.016284,40.754694,Winnemucca District Office,Missing data/not specified/undetermined
LOCKWOOD,22234.2,-157.05,66.7,Alaska Fire Service,Natural
SCALP,22142.1,-113.07138889,47.95666667,Flathead National Forest,Natural
COWBELL,21963.0,-80.9778,26.2208,Big Cypress National Preserve,Natural
CEDAR MOUNTAIN,21372.0,-112.955,40.705,Salt Lake Field Office,Natural
HAYPRESS,21301.0,-123.38,41.45166667,Six Rivers National Forest,Natural
CORRAL,20501.0,-108.12388889,33.1775,Gila National Forest,Natural
MOOSE CREEK 1,20221.0,-114.91305556,46.12194444,Nez Perce - Clearwater National Forests,Natural
17183 KHOTOL,20131.8,-158.2422,64.3261,Innoko National Wildlife Refuge,Natural
WEST FORK,20032.0,-115.64888889,48.50777778,Kootenai National Forest,Natural
THREE MILE  ( 50 ),19600.0,-80.841,26.3978,Florida Forest Service,Equipment and vehicle use
LION,19215.0,-118.48583333,36.27138889,Sequoia National Forest,Natural
BROKEN LOOKOUT,19188.0,-122.55111111,42.94611111,Umpqua National Forest,Natural
EAST FORK,18915.04,-109.6217,48.17,Rocky Boy's Agency,Missing data/not specified/undetermined
DEAD DOG,18804.0,-108.815,40.1531,"Northwest District, Craig",Recreation and ceremony
CENTENNIAL,18660.0,-115.5408,42.8203,Twin  Falls District,Natural
R4 PARSNIP,18618.5,-119.907983,40.706711,Northern California District,Natural
WHITTIER,18431.0,-119.95416667,34.56722222,Los Padres National Forest,Missing data/not specified/undetermined
HELENA,18316.0,-123.12416667,40.77111111,Shasta-Trinity National Forest,Power generation/transmission/distribution
SEPERATION,18086.0,-121.90916667,44.10055556,Willamette National Forest,Natural
HYDE,18072.0,-112.87333333,34.83222222,Prescott National Forest,Natural
STRAWBERRY,18025.96,-113.01638889,48.08916667,Flathead National Forest,Natural
358,18000.0,-100.30192,38.47942,Lane County,Power generation/transmission/distribution
BOUNDARY,17788.0,-111.83138889,35.43194444,Coconino National Forest,Natural
DEER PARK,17588.0,-112.055,43.7936,Idaho Falls District,Equipment and vehicle use
EAST SADDLE,17465.0,-119.365252,46.765923,Hanford Reach National Monument,Natural
PRESCOTT,17359.0,-123.63861111,41.73138889,Klamath National Forest,Natural
POCKET,17357.0,-122.9069,38.7661,Central California District,Missing data/not specified/undetermined
SPRAGUE,16982.0,-113.82869,48.60717,Glacier National Park,Natural
IBEX,16869.0,-114.69527778,44.58777778,Salmon-Challis National Forest,Natural
PITKA FORK,16823.9,-154.0569,62.425,Alaska Fire Service,Natural
TUNGSTEN,16755.0,-117.70969,39.75241,Carson City District Office,Natural
LITTLE YETNA RIVER,16514.0,-158.5772,62.5703,Alaska Fire Service,Natural
HORSE PRAIRIE,16436.0,-123.60472,42.93528,Oregon Department of Forestry Salem Headquarters,Missing data/not specified/undetermined
DEEP CREEK,16327.0,-115.40444444,47.75472222,Lolo National Forest,Natural
BOWDEN,16112.0,-117.7214,42.533,Vale District,Natural
SCHAEFFER,16031.0,-118.40111111,36.08305556,Sequoia National Forest,Natural
TOIK HILL,16002.8,-161.32433,63.37683,Alaska Fire Service,Natural
SPRUCE LAKE,15825.0,-122.28179,42.98027,Crater Lake National Park,Natural
CREEK,15619.0,-118.34138889,34.32222222,Angeles National Forest,Power generation/transmission/distribution
POKER BROWN,15540.3,-118.520687,40.55799,Winnemucca District Office,Natural
SNAKE RIDGE,15333.0,-111.45472222,34.59861111,Coconino National Forest,Natural
DELANO,15264.4,-114.2372,41.6211,Elko District Office,Natural
LIZARD,15210.36,-110.00666667,32.00916667,Coronado National Forest,Natural
0301 RHOADES CANYON,15200.0,-120.4164,44.91,Prineville District,Equipment and vehicle use
2017097,15000.0,-102.51546,34.17249,Texas A & M Forest Service,Missing data/not specified/undetermined
LONE PINE,14859.0,-115.03638889,46.08361111,Nez Perce - Clearwater National Forests,Natural
LIMERICK,14592.0,-118.2714,40.3347,Winnemucca District Office,Missing data/not specified/undetermined
CANE,14240.0,-97.37883,27.06595,Padre Island National Seashore,Recreation and ceremony
DOVE,14105.0,-109.95756,33.51631,San Carlos Agency,Natural
BALL CREEK,13924.0,-157.6428,62.4681,Alaska Fire Service,Natural
MOOSE PEAK,13887.0,-115.30916667,47.89611111,Kootenai National Forest,Natural
BUCK,13343.0,-123.03555556,40.2275,Shasta-Trinity National Forest,Natural
COTTONWOOD,13294.0,-115.4236,40.2583,Elko District Office,Natural
WILDCAT,13177.0,-113.0625,41.8211,Salt Lake Field Office,Natural
UNKNOWN,13000.0,-108.5182,39.0412,Grand Junction Fire Department,Natural
AMERICAN CREEK,12945.0,-156.8428333,63.1733333,Southwest Area,Natural
GIBRALTER RIDGE,12938.0,-114.85722222,48.85722222,Kootenai National Forest,Natural
LIT RANCH,12913.0,-102.2352667,35.55251667,Texas A & M Forest Service,Missing data/not specified/undetermined
PEEKABOO,12839.0,-108.83463,40.79349,"Northwest District, Craig",Natural
BLACK POINT,12593.5,-116.3455,41.6014,Elko District Office,Natural
THREE FORKS #8 (5),12564.0,-80.7868,27.9987,Florida Forest Service,Arson/incendiarism
17284 RAT CREEK,12510.1,-142.43776944,66.89142115,Arctic National Wildlife Refuge,Natural
0821,12447.0,-120.6964,44.8397,Prineville District,Natural
RAILROAD,12407.0,-119.65,37.44888889,Sierra National Forest,Power generation/transmission/distribution
HIDDEN,12261.0,-114.50888889,46.38111111,Nez Perce - Clearwater National Forests,Natural
NONVALNUK,12156.0,-162.0653,63.2203,Alaska Fire Service,Natural
KERR,11886.0,-108.47638889,33.81027778,Gila National Forest,Natural
GRASS VALLEY,11580.5,-117.6972,40.7055,Winnemucca District Office,Missing data/not specified/undetermined
WHITEWATER,11513.0,-121.85666667,44.70666667,Willamette National Forest,Natural
TIDWELL,11285.3,-106.325,45.0417,Miles City Field Office,Natural
JULY,11172.0,-108.548,47.9083,North Central Montana District,Missing data/not specified/undetermined
BACA,11145.0,-108.40444444,34.18111111,Gila National Forest,Natural
CRUCIFIXION,11003.0,-113.09472222,48.17,Helena - Lewis and Clark National Forest,Natural
LIGHT SAGE,11000.0,-112.82,40.06,Utah Division Forestry Fire State Lands,Missing data/not specified/undetermined
SWISSHELMS,10950.0,-109.5238,31.68055,Arizona Department of Forestry and Fire Management - Southeast District,Missing data/not specified/undetermined
PARK,10791.0,-112.69055556,47.02083333,Helena - Lewis and Clark National Forest,Natural
REEF,10658.4,-113.40388889,47.34833333,Flathead National Forest,Natural
0638 RN EMERSON,10527.0,-121.04166667,44.73583333,Ochoco National Forest,Arson/incendiarism
GLADE 3,10408.7,-120.04159,46.12041,Spokane District,Missing data/not specified/undetermined
SOUTH BREAKS,10407.5,-107.6164,47.3833,Miles City Field Office,Natural
JONES,10114.0,-122.56888889,44.00416667,Willamette National Forest,Natural
10,10000.0,-100.9928077,37.92771145,Finney County,Missing data/not specified/undetermined
TIMBER PEAK,10000.0,-116.4881,37.0425,Southern Nevada District Office,Missing data/not specified/undetermined
ELM 2,10000.0,-120.361469,36.118092,California Department of Forestry & Fire Protection,Missing data/not specified/undetermined
DUNE,9872.9,-118.088954,41.1108,Winnemucca District Office,Equipment and vehicle use
MILSAP,9636.0,-96.2947,36.3264,Osage Agency,Arson/incendiarism
UNO PEAK,9500.0,-120.37694444,48.11694444,Okanogan-Wenatchee National Forest,Arson/incendiarism
FERRY POINT,9500.0,-120.41833333,48.13416667,Okanogan-Wenatchee National Forest,Arson/incendiarism
STRAW,9360.0,-108.36888889,33.23416667,Gila National Forest,Natural
