name,acres,lon,lat,reporter,cause
LONG BUTTE,306113.0,-115.5397,42.605,Twin  Falls District,Natural
TOKLAT,171726.6,-150.3244,64.4592,Alaska Fire Service,Natural
JEFFERSON,108855.0,-112.88078,43.52969,Idaho Falls District,Missing data/not specified/undetermined
TURQUOISE LAKE,91885.0,-153.5033,62.395,Alaska Regional Office,Recreation and ceremony
BIG MOUNTAIN,83746.0,-141.755,66.3211,Alaska Fire Service,Natural
501 - PAT CREEK,72691.8,-148.7989,66.2014,Yukon Flats National Wildlife Refuge,Natural
LONE MOUNTAIN,51996.0,-154.7486,62.4794,Alaska Fire Service,Natural
TWITCHELL CANYON,44892.0,-112.499167,38.4252778,Fishlake National Forest,Natural
BULL CREEK,41911.4,-141.1167,65.9667,Alaska Fire Service,Natural
CHITANATALA,36633.0,-151.7731,64.7561,Alaska Fire Service,Natural
635 - CANVASBACK LAKE,35455.7,-146.425,66.405,Yukon Flats National Wildlife Refuge,Natural
537 - PEAVEY CREEK,30238.9,-151.9053,66.6689,Kanuti National Wildlife Refuge,Natural
CROWBAR,29508.0,-115.74429,42.68615,Boise District,Natural
WHITE LIGHTNING,29500.0,-121.2531,44.7673,Warm Springs Agency,Natural
RAT PATCH,27898.0,-108.16944444,47.55194444,Charles M. Russell National Wildlife Refuge,Natural
SOUTH FORK,27100.0,-106.449722,36.0558333,Santa Fe National Forest,Natural
ORPHA,25093.0,-105.2975,43.0244,Casper Field Office,Equipment and vehicle use
DERBY CREEK,23577.0,-158.8144,65.9056,Alaska Fire Service,Natural
KALUKTAVIK RIVER,23398.5,-160.8922,67.9578,Noatak Preserve,Natural
EUREKA FIRE,21620.0,-118.572222,46.370556,Washington State Fire Marshal's Office,Missing data/not specified/undetermined
GILLES/DELTA COMPLEX,19372.0,-145.6944427,64.3347244,Delta Area,Natural
SWAKANE,19291.0,-120.3475,47.5758333,Okanogan-Wenatchee National Forest,Missing data/not specified/undetermined
MYSTERY,18952.0,-154.5206,63.4317,Alaska Fire Service,Natural
SIDIK LAKE,18189.0,-158.9447,68.1431,Alaska Fire Service,Natural
EAGLE TRAIL,17934.0,-143.32,63.33,Alaska Fire Service,Natural
LOUIE CREEK,17837.0,-156.6814,65.5775,Alaska Fire Service,Natural
APPLEGATE,17446.0,-149.9978,65.2003,Alaska Fire Service,Natural
NEW,17309.0,-104.553911,32.136989,Carlsbad Caverns National Park,Natural
KILIOVILIK CREEK,17207.0,-157.5141,66.5956,Alaska Fire Service,Natural
JEANNES LAKE,17080.6,-151.3828,64.1108,Alaska Fire Service,Natural
BULL,16442.0,-118.474722,35.7852778,Sequoia National Forest,Missing data/not specified/undetermined
BLACK BUTTE,16126.0,-115.4317,42.6744,Twin  Falls District,Natural
596 - TCHULKADE LAKE,15560.5,-143.3692,66.3472,Yukon Flats National Wildlife Refuge,Natural
LOST RIVER,15331.0,-154.32138889,64.46666667,Nowitna National Wildlife Refuge,Natural
CASCADEN RIDGE,15178.0,-148.9936,65.4133,Alaska Fire Service,Natural
SCHULTZ,15075.0,-111.623889,35.2863889,Coconino National Forest,Recreation and ceremony
MCLEAN CREEK,14099.0,-156.3061066,63.6450005,Southwest Area,Natural
MIDDLE BUTTE,14058.0,-112.78739,43.4486,Idaho Falls District,Equipment and vehicle use
CROWN,13918.0,-118.2814,34.5453,California Desert District,Equipment and vehicle use
WILLOW CREEK,13766.0,-148.0978,64.7061,Alaska Fire Service,Natural
MULE CREEK,13745.0,-114.6083,42.0094,Idaho Falls District,Equipment and vehicle use
ELI RIVER,13216.0,-162.4861,67.6433,Alaska Fire Service,Natural
ROK NORTH,13106.0,-161.5628,68.1436,Alaska Fire Service,Natural
3 FORKS  (5),13000.0,-80.7864,27.9434,Florida Forest Service,Missing data/not specified/undetermined
ROOSTER ROCK,12474.0,-112.6608,42.7372,Idaho Falls District,Natural
BIG DRAW,12389.0,-115.6492,42.6728,Twin  Falls District,Natural
336 - DEMPSEY CREEK,12200.0,-142.0389,66.1397,Yukon Flats National Wildlife Refuge,Natural
