name,acres,lon,lat,reporter,cause
BISCUIT,499945.0,-123.91166667,42.03888889,Rogue River-Siskiyou National Forest,Natural
RODEO,259158.9,-110.4859,34.1084,Fort Apache Agency,Arson/incendiarism
GESKAKMINA,257549.0,-150.4502,64.6403,Alaska Fire Service,Natural
REINDEER,226833.0,-158.8857,62.3993,Alaska Fire Service,Natural
CHEDISKI,209704.1,-110.7029,34.1362,Fort Apache Agency,Arson/incendiarism
VINASALE,189688.0,-155.6523,62.6994,Alaska Fire Service,Arson/incendiarism
YETNA RIVR,152962.0,-158.351,62.8443,Alaska Fire Service,Natural
MCNALLY,150696.0,-118.45805556,35.87361111,Sequoia National Forest,Recreation and ceremony
HAYMAN,137760.0,-105.40833333,39.0575,Pike and San Isabel National Forest,Missing data/not specified/undetermined
SISCHU,128983.1,-152.5418,64.1353,Alaska Fire Service,Natural
BJ-BAYCOMP,124110.0,-82.2936111,30.6688889,Okefenokee National Wildlife Refuge,Natural
MOOSE LAKE,117920.0,-152.6757,63.5911,Denali National Park and Preserve,Natural
MP 78,115328.0,-148.8181,65.4376,Alaska Fire Service,Equipment and vehicle use
PONIL FIRE,92194.0,-105.1092,36.60833001,New Mexico State Forestry Division,Natural
DIAMOND CR,88420.8,-109.5837,39.3055,Moab Field Office,Natural
COLORADO CREEK,84015.0,-155.8206,63.6187,Southwest Area,Natural
LONG CREEK,74931.0,-155.5713,64.2636,Alaska Fire Service,Natural
GALATEA CR,74511.0,-157.1508,63.8844,Alaska Fire Service,Natural
MISSIONARY RIDGE,73121.0,-107.78305556,37.43333333,San Juan National Forest,Missing data/not specified/undetermined
KRAFT SPRINGS,69900.0,-104.11888889,45.66138889,Custer Gallatin National Forest,Natural
WINDY,69523.0,-154.2689,62.6661,Alaska Fire Service,Natural
SPURS,64834.0,-146.3857,63.9496,Alaska Fire Service,Arson/incendiarism
PINES,61690.0,-116.57361111,33.1025,Cleveland National Forest,Equipment and vehicle use
BEAR CREEK,59939.0,-156.3357,63.6994,Alaska Fire Service,Natural
TOOLBOX,54800.0,-121.03666667,42.92416667,Fremont-Winema National Forest,Natural
KHOTOL RIV,50811.0,-158.6597,63.9135,Alaska Fire Service,Natural
BOULDER,48079.6,-122.73666667,43.09777778,Umpqua National Forest,Natural
DEER POINT,43373.5,-120.32527778,48.025,Okanogan-Wenatchee National Forest,Recreation and ceremony
SANFORD,42799.0,-112.20833333,37.95833333,Dixie National Forest,Debris and open burning
TRIMBLY CR,42543.0,-117.0727,43.4649,Vale District,Natural
TAG RIVER1,40031.0,-159.1618,65.6555,Alaska Fire Service,Natural
BIG MUD,39862.0,-153.0358,64.4828,Alaska Fire Service,Natural
RYAN,38179.0,-110.60194444,31.485,Coronado National Forest,Recreation and ceremony
MIDDLE,37600.0,-108.44999999,33.35194001,New Mexico State Forestry Division,Natural
WILLIAMS,37240.0,-117.7875,34.23027778,Angeles National Forest,Arson/incendiarism
WINTER,33894.0,-120.68333333,42.74888889,Fremont-Winema National Forest,Natural
TRINIDAD COMPLEX,33000.0,-104.993333,37.044167,Pueblo Interagency Dispatch Center,Natural
ATKINS BTE,32812.0,-117.2002,43.3943,Vale District,Natural
NORTH FORK,31322.0,-154.3023,63.1827,Alaska Fire Service,Natural
WALNUT,31000.0,-108.6187,31.369,Las Cruces Field Office,Natural
BULLOCK,30600.0,-110.61,32.37416667,Coronado National Forest,Missing data/not specified/undetermined
SULUKNA,30372.0,-154.2457,63.7961,Alaska Fire Service,Natural
BURN CANYON,30292.0,-108.34944444,38.07222222,"Grand Mesa, Uncompahgre and Gunnison National Forests",Natural
WHITERVER,28500.0,-121.0667,45.2362,Prineville District,Natural
TIMBERED ROCK,27350.8,-122.73833333,42.82277778,Rogue River-Siskiyou National Forest,Natural
JOHN HANSEN LAKE,25752.0,-151.3789,64.05028,Alaska Fire Service - Tanana Zone,Natural
JOHN HANSE,25734.0,-151.4979,64.2431,Alaska Fire Service,Natural
KOCACHO 2,25186.0,-146.1652,67.3674,Alaska Fire Service,Natural
OR-MAF-103,24667.0,-118.27944444,44.28527778,Malheur National Forest,Natural
SILVER,24565.0,-121.17416667,42.99166667,Fremont-Winema National Forest,Natural
JIM RIVER,23909.0,-151.2493,66.7562,Alaska Fire Service,Natural
EYERLY  0684,23573.0,-121.47138889,44.61861111,Deschutes National Forest,Natural
COPPER,23407.0,-118.55277778,34.48111111,Angeles National Forest,Missing data/not specified/undetermined
HOLTNAKA,23033.0,-156.1425,65.1077,Alaska Fire Service,Natural
CANNON,23020.0,-119.54555556,38.45611111,Humboldt-Toiyabe National Forest,Recreation and ceremony
WEST FORK CHENA,22251.5,-146.1877,65.09241,Fairbanks Area,Debris and open burning
WOLF,21645.0,-119.36416667,34.60916667,Los Padres National Forest,Equipment and vehicle use
MP 85,21575.0,-164.5693,65.4562,Alaska Fire Service,Equipment and vehicle use
CURVE,20857.0,-117.835556,34.267778,Angeles National Forest,Missing data/not specified/undetermined
MUSTANG,20038.0,-109.44333333,40.94888889,Ashley National Forest,Equipment and vehicle use
AROPUK,19322.0,-163.669,61.2992,Alaska Fire Service,Natural
REESE,18677.0,-105.4186,42.0397,Rawlins Field Office,Natural
SHEENJEK,17933.0,-144.356,67.3427,Alaska Fire Service,Natural
APPLE,17600.0,-122.68361111,43.28472222,Umpqua National Forest,Missing data/not specified/undetermined
BIG FISH,17056.0,-107.28666667,39.99416667,White River National Forest,Natural
747 FIRE     0747,16948.0,-119.63694444,44.31972222,Ochoco National Forest,Natural
HINMAN,16852.0,-106.81444444,40.81472222,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
NUMBER 5#2,16422.0,-105.5147,33.2837,Mescalero Agency,Missing data/not specified/undetermined
WALKER,16369.0,-111.088333,31.338333,Coronado National Forest,Missing data/not specified/undetermined
PENASCO,16020.0,-105.61666667,32.84166667,Lincoln National Forest,Smoking
CHERRY FIRE,15850.0,-108.09006,34.84949,El Malpais National Monument,Natural
TENBROOK,15732.2,-101.2601,46.0522,Standing Rock Agency,Arson/incendiarism
LOST 20,15176.0,-153.9357,63.5161,Alaska Fire Service,Natural
CHEYENNE COUNTY,15000.0,-102.720833,38.620278,Pueblo Interagency Dispatch Center,Natural
SOUTHFRKII,15000.0,-109.1326,42.95,Wind River Agency,Natural
HENSEL,14855.0,-105.41,42.31222222,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
BURN RIDGE,14403.0,-106.78138889,40.70833333,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
LAPLANTE,14223.8,-100.6499,45.1422,Cheyenne River Agency,Fireworks
EAST FORK,14208.0,-110.80027778,40.93777778,Uinta-Wasatch-Cache National Forest,Recreation and ceremony
COTTONWOOD,13556.0,-159.9029,68.1161,Noatak Preserve,Natural
CUB,13525.0,-108.55027778,33.31666667,Gila National Forest,Natural
SPRING CREEK,13493.0,-107.49472222,39.68444444,White River National Forest,Natural
ROBERTS CREEK,13479.54,-118.59746,44.32508,John Day Unit,Natural
PASS CREEK,13433.0,-108.79083333,42.62083333,Shoshone National Forest,Natural
PEPPER,13200.0,-109.1118,41.1939,Rock Springs Field Office,Natural
BORREGO,12995.0,-105.83555556,35.9525,Santa Fe National Forest,Arson/incendiarism
SHELDON RIDGE,12681.0,-121.39195,45.57592,The Dalles Unit,Natural
BATTLE CREEK,12443.0,-103.34833333,43.93333333,Black Hills National Forest,Power generation/transmission/distribution
COAL SEAM,12209.0,-107.42333333,39.54333333,White River National Forest,Missing data/not specified/undetermined
SUSULATNA,11881.0,-155.4496,63.69629,Southwest Area,Natural
GRIZZLY GULCH,11589.0,-103.74333333,44.335,Black Hills National Forest,Missing data/not specified/undetermined
BIGWALDREN,11401.0,-156.5857,62.366,Alaska Fire Service,Natural
HORSEBUTTE,10422.0,-113.7481,42.4963,Idaho Falls District,Natural
KRAFT-COM.,10420.7,-101.1662,46.1219,Standing Rock Agency,Natural
PUMPHOUSE,10367.0,-120.6262,46.3165,Yakama Agency,Missing data/not specified/undetermined
MUD SPRING,10140.0,-117.8407,41.2641,Winnemucca District Office,Natural
BIG BEND,10063.4,-122.5525,43.09583333,Umpqua National Forest,Natural
SOUTH FORK,10000.0,-156.1004,63.27036,Southwest Area,Natural
LINCOLN COUNTY COMPLEX,10000.0,-103.783333,38.716667,Pueblo Interagency Dispatch Center,Natural
LINE CREEK,9700.0,-105.9695,45.0225,Miles City Field Office,Natural
PINTO HORS,9517.0,-117.4407,42.7963,Vale District,Natural
MILLION,9294.0,-106.6675,37.62694444,Rio Grande National Forest,Missing data/not specified/undetermined
BROAD,9140.0,-110.35491,44.77418,Yellowstone National Park,Natural
OR-MAF-178,9133.0,-118.68361111,44.27916667,Malheur National Forest,Natural
LITTLE,8800.0,-109.3074,34.1079,Arizona Department of Forestry and Fire Management - State Office,Equipment and vehicle use
MAHOGANY,8660.0,-117.3413,43.254,Vale District,Natural
SLINKARD,8600.0,-119.5982,38.6471,Central California District,Natural
STRINGO,8577.0,-147.7183,67.7649,Alaska Fire Service,Natural
EAGLE,8527.0,-114.1341,38.0,Ely District Office,Natural
RL468,8480.0,-95.42,47.8713,Red Lake Agency,Missing data/not specified/undetermined
CERO PELAD,8260.0,-105.0303,36.1006,Bandelier National Monument,Natural
HORSESKIN,8140.0,-115.16487,42.44847,Twin  Falls District,Natural
SEQUOIA,8100.0,-113.33777778,37.41,Dixie National Forest,Natural
FURNISH,8000.0,-103.1994,37.0722,Royal Gorge Field Office,Natural
HULAH2,8000.0,-96.1211,36.9162,Osage Agency,Debris and open burning
LYNX CREEK,7870.0,-152.8762,63.91,Alaska Fire Service,Natural
WALDENFORK,7866.0,-156.519,62.466,Alaska Fire Service,Natural
MIDDLE MTN,7858.0,-120.47055556,48.92444444,Okanogan-Wenatchee National Forest,Natural
SUDDEN RANCH,7782.0,-120.526667,34.559167,Los Padres National Forest,Missing data/not specified/undetermined
WANNA,7505.0,-102.8018,43.2797,Pine Ridge Agency,Misuse of fire by a minor
RL13,7455.0,-95.3872,47.9577,Red Lake Agency,Missing data/not specified/undetermined
TEJON,7420.0,-105.23559999,34.63499999,New Mexico State Forestry Division,Natural
RUSSELL EHLERS,7000.0,-98.50568,43.86049,Plankinton Volunteer Fire Department,Equipment and vehicle use
POWNELL,6949.0,-105.5056,44.7105,Buffalo Field Office,Natural
BLUE CUT,6864.0,-117.40805556,34.24305556,San Bernardino National Forest,Arson/incendiarism
KENTON,6815.0,-103.29669999,36.96667001,New Mexico State Forestry Division,Natural
JACKKNIFE,6786.0,-116.34768,44.11727,Boise District,Natural
MOOSECREEK,6763.0,-156.519,62.0493,Alaska Fire Service,Natural
COTTONWOOD,6761.0,-154.7023,63.4827,Alaska Fire Service,Natural
COTTONWOOD,6655.6,-102.2935,43.4055,Pine Ridge Agency,Debris and open burning
LOUISIANA,6559.0,-117.43194444,34.23611111,San Bernardino National Forest,Equipment and vehicle use
FULLER,6400.0,-118.36861111,37.05805556,Inyo National Forest,Natural
MILNE/SQUIRREL,6355.0,-104.533333,38.683333,Pueblo Interagency Dispatch Center,Missing data/not specified/undetermined
FOX CREEK,6300.0,-113.3009,48.7833,Blackfeet Agency,Natural
SPRING,6275.0,-105.04970002,36.97833001,New Mexico State Forestry Division,Natural
BIG ROCK,6248.0,-146.1516,67.7036,Alaska Fire Service,Natural
HANG DOG,6000.0,-109.10666667,38.36972222,Manti-Lasal National Forest,Natural
EL PASO COUNTY COMPLEX,6000.0,-104.233333,38.683333,Pueblo Interagency Dispatch Center,Natural
BLACK CNY,5969.6,-109.8557,39.2083,Moab Field Office,Natural
DARNELL,5942.0,-109.13888889,31.82222222,Coronado National Forest,Natural
RED WAFFLE,5859.0,-109.69166667,45.13666667,Custer Gallatin National Forest,Missing data/not specified/undetermined
GRIZZLY,5832.2,-120.55222222,42.22888889,Fremont-Winema National Forest,Natural
NO.1WILD,5816.0,-82.2083333,30.6491667,Okefenokee National Wildlife Refuge,Debris and open burning
TRAMPAS,5800.0,-105.60388889,35.8425,Santa Fe National Forest,Natural
GAVILAN                  ,5763.0,-117.21888888,33.40888888,San Diego Unit,Debris and open burning
OR-MAF-105,5692.0,-118.50833333,44.48916667,Malheur National Forest,Natural
TRICK,5550.0,-112.0625,35.04194444,Kaibab National Forest,Natural
LOST LAKES,5538.0,-107.22777778,40.09805556,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
MANVEL,5500.0,-97.3167,48.166,Devil's Lake Wetland Management District,Missing data/not specified/undetermined
COW CREEK,5495.0,-109.0741,45.5575,Southern Land Office,Natural
NRTH BAYOU,5414.0,-93.5,29.8427778,Sabine National Wildlife Refuge,Natural
DALEY,5321.0,-105.4678,44.8678,Buffalo Field Office,Natural
CITY HALL,5312.0,-111.483,31.766,Buenos Aires National Wildlife Refuge,Debris and open burning
BIG WASH,5283.0,-112.875,37.56666667,Dixie National Forest,Natural
MOOSE CR,5275.0,-155.7821,64.0377,Alaska Fire Service,Natural
KETCHEM,5255.0,-144.5911,65.5263,Alaska Fire Service,Natural
JIM BURNS,5237.0,-114.1342,43.1668,Twin  Falls District,Natural
BOUQUET,5200.0,-118.39777778,34.57138889,Angeles National Forest,Missing data/not specified/undetermined
LEONA,5124.0,-118.32527778,34.58638889,Angeles National Forest,Arson/incendiarism
HANOVER,5038.0,-104.6,38.55,Pueblo Interagency Dispatch Center,Natural
TOLLMAN,5025.0,-104.1185,42.875,New Castle Field Office,Natural
RUSH,5015.0,-120.13124,40.6359,Northern California District,Natural
BIRD,5000.0,-103.36,41.56,North Platte National Wildlife Refuge,Missing data/not specified/undetermined
LITTLE HORSE,4965.0,-114.5775,45.45083333,Salmon-Challis National Forest,Natural
COUNTYLINE,4860.0,-109.9543,39.4583,Uintah and Ouray Agency,Natural
HWY 24,4800.0,-120.0064,46.5118,Spokane District,Power generation/transmission/distribution
BEAR,4800.0,-108.72367,40.44566,Dinosaur National Monument,Smoking
UN CHENA,4476.0,-146.7097,65.14999,Fairbanks Area,Natural
OAK TREE,4471.0,-110.5923,31.7973,Gila District Office,Arson/incendiarism
ELLSWORTH,4450.0,-117.80416667,38.90388889,Humboldt-Toiyabe National Forest,Natural
IRON MTN,4439.4,-105.50257,38.29781,Royal Gorge Field Office,Recreation and ceremony
GREEN CREEK,4400.0,-106.69166667,40.30833333,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
CASHE MOUNTIAN  0985,4358.0,-121.77222222,44.38777778,Deschutes National Forest,Natural
BIG ELK,4348.0,-105.38222222,40.28555556,Arapaho and Roosevelt National Forests and Pawnee National Grassland,Equipment and vehicle use
LOST CABIN,4340.0,-115.64277778,36.12305556,Humboldt-Toiyabe National Forest,Natural
QUARTZ CREEK,4286.0,-120.44222222,48.94222222,Okanogan-Wenatchee National Forest,Natural
MONTOYA,4257.0,-106.400833,36.468056,Carson National Forest,Missing data/not specified/undetermined
CLOT,4218.0,-115.40507,42.47407,Twin  Falls District,Natural
BUSTER,4214.0,-114.2622,38.1061,Ely District Office,Natural
LONE PALM FIRE,4200.0,-80.566667,25.85,Florida Forest Service,Natural
FULTZ RUN,4200.0,-78.54974,38.51087,Shenandoah National Park,Arson/incendiarism
HIGH PLAINS - 1,4200.0,-101.17109999,34.87333,Texas A & M Forest Service,Debris and open burning
ACKER,4114.0,-122.65833333,43.06166667,Umpqua National Forest,Natural
KALSKAG,4110.0,-160.369,61.5159,Alaska Fire Service,Debris and open burning
SCHOONOVER,4085.0,-105.19166667,39.25,Pike and San Isabel National Forest,Natural
CARRIZO 1,4033.0,-109.0923,36.6733,Navajo Region Fire and Aviation Management,Natural
CHOCOLATE BAYOU,4028.0,-95.210278,29.164444,Brazoria National Wildlife Refuge,Natural
LAKES,4026.0,-106.75,35.83583333,Santa Fe National Forest,Recreation and ceremony
REC AREA COMMAND,4000.0,-80.7094,26.1186,Florida Forest Service,Equipment and vehicle use
EVERGREEN,4000.0,-102.3754,43.3167,Pine Ridge Agency,Fireworks
N BARCUS,3906.0,-108.4351,40.0983,"Northwest District, Craig",Natural
GOBLET CK,3891.0,-160.498,62.9084,Alaska Fire Service,Natural
HAMMOND,3800.0,-109.72,37.67166667,Manti-Lasal National Forest,Natural
GRAND CREE,3776.0,-150.5174,64.5678,Alaska Fire Service,Natural
POTATO CR.,3707.5,-102.0143,43.3639,Pine Ridge Agency,Equipment and vehicle use
CASTLE,3651.0,-107.89277778,33.49444444,Gila National Forest,Natural
CHIP,3629.0,-116.13733,43.50849,Boise District,Natural
PHLOX,3600.0,-110.16299,44.19958,Yellowstone National Park,Natural
COMMISARY,3561.0,-110.5882,42.0905,Rock Springs Field Office,Natural
PACK RAT COMPLEX,3470.0,-111.310278,34.428889,Coconino National Forest,Natural
GRINDER,3459.0,-115.34786,42.64396,Twin  Falls District,Natural
BOREL,3416.0,-118.5284,35.5947,Central California District,Recreation and ceremony
KUPUKUPU,3407.0,-155.1175,19.3433,Hawaii Volcanoes National Park,Natural
MULE FIRE,3400.0,-110.53944444,42.96,Bridger-Teton National Forest,Natural
KELLY CREEK,3359.0,-116.13388889,45.42527778,Nez Perce - Clearwater National Forests,Missing data/not specified/undetermined
MUSTANG,3341.0,-110.4305,31.714,Arizona Department of Forestry and Fire Management - State Office,Missing data/not specified/undetermined
PRICE CNY,3269.0,-110.9057,39.7694,Moab Field Office,Railroad operations and maintenance
MUSSOLINI,3260.0,-122.48416667,41.4675,Shasta-Trinity National Forest,Equipment and vehicle use
32BRAVO,3200.0,-100.6535,46.0892,Standing Rock Agency,Natural
CROY,3127.0,-121.774939,37.091,Central California District,Equipment and vehicle use
PINYON CANYON COMPLEX,3090.0,-103.724722,37.609167,Department of Defense,Natural
HULAH,3035.0,-96.1503,36.8898,Osage Agency,Debris and open burning
CAMELBACK BRIDGE,3020.0,-96.1878912,48.90891395,Minnesota Department of Natural Resources,Arson/incendiarism
LOOKING,3004.0,-100.9621,43.1594,Rosebud Agency,Misuse of fire by a minor
MARBLEYARD,2935.0,-79.47777778,37.58333333,George Washington & Jefferson National Forests,Natural
STEAMBOAT,2921.0,-108.039,46.2494,Miles City Field Office,Power generation/transmission/distribution
STANZA,2880.0,-123.29666667,41.66805556,Klamath National Forest,Natural
PLAINS,2880.0,-93.7125,29.8397222,Sabine National Wildlife Refuge,Natural
SQUIRE PK,2804.0,-123.0212,42.2215,Medford District,Natural
BIG CROW,2800.0,-115.27027,42.50958,Twin  Falls District,Natural
KASKELA,2760.0,-121.0845,44.9768,Prineville District,Railroad operations and maintenance
CROOKED 2,2700.0,-157.5357,61.9993,Alaska Fire Service,Natural
ARROWHEAD,2688.0,-117.285,34.2,San Bernardino National Forest,Missing data/not specified/undetermined
LYTLE,2682.0,-104.825,38.593611,Department of Defense,Missing data/not specified/undetermined
MERRITT,2653.0,-110.43722222,31.43305556,Coronado National Forest,Missing data/not specified/undetermined
BIRCH,2624.0,-118.63583333,37.51861111,Inyo National Forest,Debris and open burning
CABIN CRK,2622.0,-106.1695,44.9353,Buffalo Field Office,Natural
DIVIDE,2620.0,-109.47944444,42.82694444,Bridger-Teton National Forest,Natural
PASS,2620.0,-116.8845,33.9508,Southern California Agency,Missing data/not specified/undetermined
LONG MESA,2601.0,-108.4173,37.1833,Mesa Verde National Park,Natural
SKUNK RIDGE,2600.0,-74.49694,40.02861,New Jersey Forest Fire Service,Missing data/not specified/undetermined
ROLLING PLAINS - 1,2600.0,-100.055,34.48305998,Texas A & M Forest Service,Equipment and vehicle use
WEB,2583.0,-116.35283,44.0796,Boise District,Natural
BISRURAL 2,2554.0,-100.61666667,46.63333333,Long Lake National Wildlife Refuge,Natural
DAWN CREEK,2548.0,-152.7578,67.7029,Gates of the Arctic National Park and Preserve,Natural
SKUNK,2544.0,-121.54861111,42.555,Fremont-Winema National Forest,Natural
DIERICH CR,2533.0,-108.9507,38.9339,"Northwest District, Grand Junction",Missing data/not specified/undetermined
GARDER CYN,2511.0,-110.6357,39.8491,Vernal Field Office,Natural
MAPLE SPR,2500.0,-112.88634,38.14164,Cedar City Field Office,Natural
HUDSONLAKE,2500.0,-96.0269,36.8381,Osage Agency,Arson/incendiarism
SULPHUR SPRINGS,2500.0,-121.219167,36.016944,Los Padres National Forest,Missing data/not specified/undetermined
PAINTER,2500.0,-103.59829,45.79477,Sorum/Reva Volunteer Fire Department,Power generation/transmission/distribution
MUY GRANDE,2500.0,-97.29861111,26.07416667,South Texas Refuge Complex,Missing data/not specified/undetermined
TRAVERS,2400.0,-103.63231,45.72964,Buffalo Volunteer Fire Department,Power generation/transmission/distribution
HUNTER.,2400.0,-120.46666667,38.88416667,Eldorado National Forest,Debris and open burning
GREEN,2400.0,-117.66583333,33.86416667,Cleveland National Forest,Power generation/transmission/distribution
GARCO 4,2400.0,-107.1128,39.4528,"Northwest District, Grand Junction",Missing data/not specified/undetermined
ALISO,2400.0,-117.394444,33.441667,San Diego Unit,Missing data/not specified/undetermined
MCKINLEY FIRE,2400.0,-96.56649964,48.91375872,Minnesota Department of Natural Resources,Arson/incendiarism
ORACLE HILL,2397.0,-110.78194444,32.57833333,Coronado National Forest,Natural
NIZHONI,2354.0,-109.53444444,37.76333333,Manti-Lasal National Forest,Recreation and ceremony
LAVA,2350.0,-120.7653,42.4624,Lakeview District,Natural
BASQUE,2323.0,-117.901,42.4682,Vale District,Natural
SNAKING,2312.0,-105.525,39.425,Pike and San Isabel National Forest,Smoking
SLOKUMM,2296.5,-118.3213,43.4115,Burns District,Natural
DEER MT,2281.0,-119.9734,47.9388,Spokane District,Equipment and vehicle use
SPRINGVILLE,2257.0,-111.61111111,40.20194444,Uinta-Wasatch-Cache National Forest,Power generation/transmission/distribution
BUCKTAIL,2244.0,-108.43972222,38.34916667,"Grand Mesa, Uncompahgre and Gunnison National Forests",Natural
BUCKEYE,2212.0,-122.57583333,43.05638889,Umpqua National Forest,Natural
PICKENS,2200.0,-119.3706,48.7643,Spokane District,Debris and open burning
OVERSITE,2189.0,-110.315,31.40166667,Coronado National Forest,Recreation and ceremony
DEATH VALL,2163.0,-151.6719,67.1818,Alaska Fire Service,Natural
PINYON RID,2141.0,-108.3962,40.2294,"Northwest District, Craig",Natural
SHEEPSHEAD,2120.0,-115.56245,42.36854,Twin  Falls District,Arson/incendiarism
DAVIS,2118.0,-120.25,35.703056,San Luis Obispo Unit,Missing data/not specified/undetermined
COYOTE TRP,2115.0,-117.9427,42.9874,Vale District,Natural
WOLF,2108.0,-119.6791,37.871,Yosemite National Park,Natural
NRTHPAHROC,2079.0,-114.9008,37.8233,Ely District Office,Natural
SHEEP CREEK,2016.0,-113.76666667,45.68333333,Beaverhead-Deerlodge National Forest,Natural
RL33,2010.0,-95.2836,47.9166,Red Lake Agency,Missing data/not specified/undetermined
CONE,2006.0,-121.18222222,40.75944444,Lassen National Forest,Equipment and vehicle use
HUFF,2001.0,-111.21555556,40.97527778,Uinta-Wasatch-Cache National Forest,Equipment and vehicle use
BAD NATION,2000.0,-100.28011,43.61567,Vivian Volunteer Fire Department,Equipment and vehicle use
CANNON FIRE,2000.0,-96.63194387,48.8054712,Minnesota Department of Natural Resources,Arson/incendiarism
PONY EXP2,2000.0,-117.8021,39.2802,Carson City District Office,Natural
PARACHUTE ADAM,2000.0,-108.85000002,31.61667001,New Mexico State Forestry Division,Natural
CEDAR CANY,2000.0,-102.7002,45.0458,Montana/Dakotas State Office,Misuse of fire by a minor
LOS LAMENT,2000.0,-108.6583,31.3369,Las Cruces Field Office,Missing data/not specified/undetermined
LAMENTOS2,2000.0,-108.5178,31.335,Las Cruces Field Office,Missing data/not specified/undetermined
SKYWAY                   ,2000.0,-121.72194444,39.705,Butte Unit,Missing data/not specified/undetermined
SHURDEN,2000.0,-95.881944,35.323056,Oklahoma Division of Forestry,Missing data/not specified/undetermined
RL59,1971.0,-95.3692,48.0211,Red Lake Agency,Missing data/not specified/undetermined
E ANTELOPE,1947.0,-122.652,42.2904,Medford District,Power generation/transmission/distribution
MONKEY FACE,1922.0,-79.88055556,33.33888889,Francis Marion & Sumter National Forests,Arson/incendiarism
ARCH,1920.0,-103.09999999,34.14832997,New Mexico State Forestry Division,Missing data/not specified/undetermined
HOHOLITNA,1903.0,-156.8517,61.44103,Southwest Area,Natural
OIL FLD BN,1890.0,-94.125,29.704,McFaddin National Wildlife Refuge,Natural
RL603,1884.0,-95.4231,48.1247,Red Lake Agency,Missing data/not specified/undetermined
RL39,1875.0,-95.5525,47.9666,Red Lake Agency,Missing data/not specified/undetermined
SPRING CREEK,1873.0,-117.89853,47.72868,Washington State Department of Natural Resources Headquarters,Equipment and vehicle use
JOHNSON,1844.0,-111.64944444,38.64222222,Fishlake National Forest,Natural
TUCKER,1815.0,-120.4441,42.5793,Lakeview District,Natural
WILDHORSE,1800.0,-109.9801,39.5177,Uintah and Ouray Agency,Natural
DEER,1800.0,-118.4926,35.5947,Central California District,Misuse of fire by a minor
PLUM,1763.0,-120.38416667,38.71916667,Eldorado National Forest,Debris and open burning
OKESA RD,1760.0,-96.1986,36.7034,Osage Agency,Arson/incendiarism
SANTA FE,1725.0,-103.42128,38.03714,Bents Old Fort National Historic Site,Debris and open burning
UNIT 2 WILDFIRE,1717.0,-94.1897,29.633,McFaddin National Wildlife Refuge,Missing data/not specified/undetermined
MUD,1710.0,-113.5558,36.6325,Arizona Strip Field Office,Natural
THURSDAY CREEK,1701.0,-150.6184,61.7686,Mat-Su Area,Natural
CAPULIN,1700.0,-104.04720001,36.73943998,New Mexico State Forestry Division,Natural
MCBEE,1680.0,-119.5039,46.2512,Spokane District,Arson/incendiarism
WHITEWATER,1651.7,-107.4523,48.6903,North Central Montana District,Debris and open burning
LEGENDS FIRE,1648.0,-78.9781,33.7242,South Carolina Forestry Commission,Debris and open burning
CROOKED,1624.8,-122.65361111,42.97333333,Umpqua National Forest,Natural
WITCH,1600.0,-109.4843,31.8353,Arizona Department of Forestry and Fire Management - State Office,Equipment and vehicle use
CRAZY,1597.0,-144.8494,65.6641,Alaska Fire Service,Natural
SAND,1581.0,-158.3361,66.8994,Alaska Fire Service,Natural
GIFFORD SP,1552.0,-113.2514,42.6732,Idaho Falls District,Natural
WATT DRAW,1525.0,-106.0081,44.8642,Buffalo Field Office,Natural
COTTONWOOD,1523.0,-112.28555556,38.38833333,Fishlake National Forest,Natural
BLACK,1510.0,-120.54689,40.61846,Northern California District,Natural
SOUTH TX - 3,1500.0,-98.28333001,27.09999997,Texas A & M Forest Service,Missing data/not specified/undetermined
BELL SLOP,1500.0,-76.36666667,35.4238,Swanquarter National Wildlife Refuge,Debris and open burning
RED MTN.,1500.0,-119.5,48.36666667,Hanford Reach National Monument,Equipment and vehicle use
RL169,1500.0,-95.5725,48.0561,Red Lake Agency,Missing data/not specified/undetermined
SCRABBLE,1500.0,-113.66972222,37.45333333,Dixie National Forest,Natural
EAST ALLEN,1500.0,-101.83608,43.21947,Martin Volunteer Fire Department,Missing data/not specified/undetermined
PALISADE,1497.0,-118.53664,37.05326,Sequoia & Kings Canyon National Parks,Natural
ANTONIO,1472.0,-117.616667,33.591667,Orange County Fire Authority,Missing data/not specified/undetermined
COPCO,1465.0,-118.795,34.75777778,Angeles National Forest,Arson/incendiarism
S.P.,1420.0,-111.207222,31.921111,Arizona Department of Forestry and Fire Management - State Office,Natural
HUGHES,1420.0,-121.214444,35.903056,Los Padres National Forest,Missing data/not specified/undetermined
