name,acres,lon,lat,reporter,cause
CEDAR,280059.0,-116.7275,32.98555556,Cleveland National Forest,Recreation and ceremony
HADWEENZIC,192489.0,-147.2681,66.85,Yukon Flats National Wildlife Refuge,Natural
MISSOUBRKS,125900.0,-107.5123,47.5994,Miles City Field Office,Natural
ERICKSON C,117929.7,-148.992,65.6671,Alaska Fire Service,Natural
SIMI INCIDENT,108204.0,-118.6675,34.384722,Ventura County Fire Department,Missing data/not specified/undetermined
OLD,91281.0,-117.27611111,34.19694444,San Bernardino National Forest,Arson/incendiarism
ASPEN,82440.0,-110.77166667,32.43,Coronado National Forest,Missing data/not specified/undetermined
FAREWELL,81343.0,-120.17972222,48.75305556,Okanogan-Wenatchee National Forest,Natural
BOOTH  0848,79734.0,-121.83111111,44.435,Deschutes National Forest,Natural
DRY,65000.0,-108.40222222,33.10222222,Gila National Forest,Natural
PIRU,63720.0,-118.75888889,34.4875,Los Padres National Forest,Equipment and vehicle use
GRAND PRIX,59788.0,-117.48138889,34.16833333,San Bernardino National Forest,Arson/incendiarism
ROBERT,57273.0,-114.16583333,48.49388889,Flathead National Forest,Missing data/not specified/undetermined
PARADISE,56427.0,-116.95277778,33.25555556,Cleveland National Forest,Arson/incendiarism
CORNUCOPIA,52916.7,-145.9194,67.133,Alaska Fire Service,Natural
WEDGE CANYON,50981.0,-114.55111111,48.88361111,Flathead National Forest,Natural
SAND CREEK,49786.0,-145.1857,64.2663,Alaska Fire Service,Natural
OTAY,47921.0,-116.7675,32.5667,California Desert District,Missing data/not specified/undetermined
BLACK HILL,42745.0,-141.5688,62.6877,Wrangell-St. Elias National Park and Preserve,Natural
KERULU CREEK,40731.9,-158.37,66.3917,Selawik National Wildlife Refuge,Natural
BIG MUD,39186.1,-152.6922,64.7942,Alaska Fire Service,Natural
RL257,38753.0,-95.5294,48.1225,Red Lake Agency,Debris and open burning
DEEP,37842.5,-112.5228,44.2674,Idaho Falls District,Natural
SNOWBANK,37405.0,-112.6425,47.08611111,Helena - Lewis and Clark National Forest,Natural
HOBBLE FIRE,36180.0,-109.67469999,45.77030002,Southern Land Office,Natural
BOILER,34941.0,-107.9103,33.4267,Socorro Field Office,Natural
THOMPSON CREEK,33948.0,-114.75388889,46.85027778,Lolo National Forest,Natural
BULLDOG,31727.0,-110.75026,37.9165,Richfield Field Office,Equipment and vehicle use
SANTA CLARA COMPLEX,30170.0,-121.5,37.0,Santa Clara Unit,Natural
APEX,29933.0,-113.7791,37.06,Cedar City Field Office,Recreation and ceremony
MOONSHINE,27600.0,-108.46916667,33.35083333,Gila National Forest,Natural
HOT CREEK,26560.0,-115.31694444,43.81888889,Boise National Forest,Natural
COONEY RIDGE ,25680.0,-113.826111,46.6225,Southwestern Land Office,Natural
LITTLEHAWK,25490.0,-107.0153,45.6314,Northern Cheyenne Agency,Natural
SHEENJEK,25230.0,-144.0833,67.65,Arctic National Wildlife Refuge,Natural
MINERAL/PRIMM,25202.0,-113.83472222,47.02527778,Lolo National Forest,Natural
FALCONBERRY,25007.0,-114.76444444,44.69833333,Salmon-Challis National Forest,Recreation and ceremony
KINISHBA,24109.0,-110.0645,33.8498,Fort Apache Agency,Natural
NEEDLES,21300.0,-120.66666667,48.6,Okanogan-Wenatchee National Forest,Natural
DAVIS FIRE     0345,21135.0,-121.85638889,43.58527778,Deschutes National Forest,Arson/incendiarism
DOUBLE MOUNTAIN 2,21000.0,-113.66321,48.40372,Glacier National Park,Natural
UMTANUM RIDGE,20000.0,-119.96666667,46.58333333,Hanford Reach National Monument,Missing data/not specified/undetermined
RL304,19782.0,-95.2789,47.9727,Red Lake Agency,Debris and open burning
COYOTE,19575.8,-116.7453,33.4328,California Desert District,Natural
EAST,18762.0,-110.18083,44.50557,Yellowstone National Park,Natural
TRAPPER,18702.0,-113.90708,48.79281,Glacier National Park,Natural
TURNBO,18585.0,-108.48583333,33.20138889,Gila National Forest,Natural
RED POINT,17568.0,-104.005,43.61472222,Black Hills National Forest,Natural
CANADA FIRE,15000.0,-96.20300503,48.99573567,Minnesota Department of Natural Resources,Debris and open burning
GORDON CREEK,14845.0,-113.23805556,47.41916667,Flathead National Forest,Natural
BLACKFOOT LAKE,14194.0,-113.91055556,48.18944444,Flathead National Forest,Natural
LIGHTNING HONEYDEW4M,13846.0,-124.073169,40.174369,Northern California District,Natural
TOBIAS,13843.0,-113.71722222,44.74833333,Salmon-Challis National Forest,Recreation and ceremony
WINSLOW,13558.0,-111.91361111,44.57194444,Red Rock Lakes National Wildlife Refuge,Natural
E MT COMLX,13533.0,-106.2681,45.6,Miles City Field Office,Natural
TEN COW,13523.0,-108.328611,33.413056,Gila National Forest,Natural
PICTURE,12900.0,-111.15138889,33.93361111,Tonto National Forest,Recreation and ceremony
CARIBOU FIRE,12680.0,-96.52370424,48.99866747,Minnesota Department of Natural Resources,Arson/incendiarism
BEAVER LAKES,12467.0,-114.43,46.55666667,Nez Perce - Clearwater National Forests,Natural
MENAN 2,12068.4,-112.0778,43.8246,Idaho Falls District,Natural
SLIMS,12011.0,-115.2925,46.02472222,Nez Perce - Clearwater National Forests,Natural
LOCAL                    ,12000.0,-116.20805555,33.67805555,Riverside Unit,Debris and open burning
POPLAR,12000.0,-112.20766,36.31955,Grand Canyon National Park,Natural
PETTIBONE CREEK,11833.0,-114.83361111,46.0525,Nez Perce - Clearwater National Forests,Natural
SOME CREEK,11772.0,-113.38666667,47.46222222,Flathead National Forest,Natural
CRAZY HORSE,11300.0,-113.83194444,47.41916667,Flathead National Forest,Natural
MID,11213.0,-113.33611111,47.78111111,Flathead National Forest,Natural
EAST HANSEL VALLEY,11200.0,-112.566389,41.782778,Northwest Area,Natural
CANOE                    ,11036.0,-123.94,40.29,Humboldt-Del Norte Unit,Natural
BEAR BUTTE,11035.0,-121.75861111,44.63638889,Deschutes National Forest,Natural
ROLLING PLAINS - 7,11015.0,-99.15556001,32.81028001,Texas A & M Forest Service,Natural
BOULDER BASIN II,10953.0,-109.56972222,44.13166667,Shoshone National Forest,Natural
THOMAS,10644.0,-109.25833333,33.6775,Apache-Sitgreaves National Forest,Natural
WITHINGTON,10567.0,-113.83333333,45.03333333,Salmon-Challis National Forest,Natural
TWO CORRAL,10504.0,-116.56694444,45.56638889,Wallowa-Whitman National Forest,Natural
RATTLESNAK,10500.0,-118.4294,47.8524,Colville Agency,Arson/incendiarism
PADUA,10446.0,-117.68222222,34.18583333,Angeles National Forest,Arson/incendiarism
MOUNTAIN,10331.0,-116.983889,33.617222,Riverside Unit,Missing data/not specified/undetermined
TREASURE COUNTY COMPLEX,9998.0,-107.166667,46.083333,Southern Land Office,Natural
ACKLEY,9940.0,-121.32388889,41.75305556,Modoc National Forest,Natural
SAPP,9674.0,-115.205,45.56166667,Payette National Forest,Natural
CRAIG II,9180.0,-106.4711,45.6247,Northern Cheyenne Agency,Natural
VERDALE,8650.0,-118.675833,34.433333,Los Angeles County Fire Department,Missing data/not specified/undetermined
ROBLAR 2,8592.0,-117.3517,33.3692,California Desert District,Equipment and vehicle use
GOLD ONE,8296.0,-113.93222222,46.37083333,Bitterroot National Forest,Natural
PARDUE,8000.0,-112.6495,48.6355,Blackfeet Agency,Missing data/not specified/undetermined
WEST KERN,7963.0,-118.41916,36.361,Sequoia & Kings Canyon National Parks,Natural
CASCADE 2,7828.0,-111.58111111,40.45055556,Uinta-Wasatch-Cache National Forest,Debris and open burning
SMOKE,7790.0,-120.006,40.6899,Northern California District,Natural
BALL CREEK,7520.0,-113.73833333,48.01555556,Flathead National Forest,Natural
LITTLE HORN II,7400.0,-107.65138889,44.98611111,Bighorn National Forest,Natural
BLACK FROG COMPLEX,7275.0,-113.833611,45.608333,Bitterroot National Forest,Natural
HATTEN RD,7209.0,-118.5592,47.5599,Spokane District,Equipment and vehicle use
MOLINA,7165.0,-105.9839,35.9884,Northern Pueblos Agency,Natural
BLACK MTN #2,7061.0,-114.21166667,46.87222222,Lolo National Forest,Natural
DEEP LAKE,6980.0,-109.35916667,44.89416667,Shoshone National Forest,Natural
